岗位名称,公司,城市,国家,区域,最低薪资,最高薪资,薪资货币,岗位类别,JD全文,软性要求,技能标注,来源类型,来源名称,来源链接,采集日期,提交时间,同意状态,数据质量
AI Agent 应用开发实习生,新希望化工,成都,中国,锦江区,3262,4350,CNY,agent_dev,"团队情况
我们是新希望化工事业部旗下的贸易公司,专注于大宗现货贸易,经营品种覆盖氯化钾、黄磷、木薯淀粉、PET瓶片等品类,业务遍及国内及东南亚市场。公司目前约50人规模,正处于业务快速增长与数字化转型并行的高速发展期。

我们的AI技术中心不做演示级产品,做的系统直接跑在真实的贸易业务流程里,为运营、风控、人事、财务等部门提供自动化提效工具。


岗位职责:
1. 负责公司业务运营场景(客商准入、合同履约、招聘提效等)中 AI Agent 应用的功能开发与迭代,根据明确的业务需求,完成开发、测试与上线;
2. 参与现有业务工具与流程的 Agent 化改造;
3. 负责业务相关工具与 Agent 应用的日常运维,保障稳定运行,及时处理问题;
4. 参与Agent应用稳定性与性能的持续优化,持续评估并改进 Agent 的输出质量;
5. 完成团队交办的其他任务。

任职要求:
1. 能使用AI编程工具(Claude Code/Codex/Cursor/ZCode等)独立完成开发,有从需求理解到上线维护的端到端交付经历;
2. 具备Python开发能力,有Web服务或自动化脚本的开发经验,能读懂并迭代已有代码;
3. 具备较强的自主学习能力,能快速掌握Agent与AI Coding新能力、新特性,主动解决项目中遇到的技术问题;
4. 了解软件工程的基础知识,做事有质量意识,出问题追到底;
5. 具备良好的沟通协调能力和团队协作意识,有较强的责任心和执行力。

加分项:
- 有AI Agent应用(OpenClaw等)方面实践经验
- 有独立开发并上线过完整项目(个人项目、开源项目、课程项目均可)

你需要提前知道的事:
- 你负责的工具已真实投产、做出来的东西真的有人在用
- 你需要专注技术实现,遇到不清楚的先问再动手
- 我们不重复造轮子,我们的价值在于解决业务问题

你会得到什么:
- 你负责的工具从第一天起就在真实业务里运行,不是练手项目
- 从读懂一套已投产的系统,到独立迭代,再到把它 agent 化——每一步都写得进简历
- 表现优异者实习满三个月可参与转正答辩,通过者毕业即转正

实习信息
- 在读本科或研究生,专业不限
- 能保证3个月以上实习,每周到岗4天以上,长期实习者优先
- 工作地点:成都

招聘流程

简历初筛,线上沟通确认意向,笔试(发题后一周内提交),面试(含现场动手环节)。",,"[{""raw_name"": ""AI Coding"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""AI Coding""}, {""raw_name"": ""Python"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""Python""}]",public_job_page,boss_zhipin,https://www.zhipin.com/job_detail/1dffc0459aee85660nJz2Nq-ElBU.html,2026-09-02,2026-09-02,none,human_reviewed
AI Agent研发工程师,阿里巴巴集团,成都,中国,武侯区,25000,45000,CNY,agent_dev,"【base】北京,杭州,深圳,上海,广州
这是一个综合的AI推理、优化的技术岗位,适合希望从事以下工作的候选人投递:
● 希望从事AI应用构建与模型优化工作的候选人
● 希望从事AI应用数据构建与自动化评测工作的候选人
● 希望从事多模态AI应用构建与算法优化工作的候选人

围绕真实业务核心场景,参与AI应用的系统化构建与优化,把AI变为业务增长引擎,具体职责包括以下相关方向的一项或多项:
1、AI应用全生命周期演进:深度参与业务问题建模、应用架构设计、上下文工程、训练数据构建、自动化评估体系、模型后训练优化等;
2、数据飞轮构建:打造高质量数据生产链路,探索合成数据(Synthetic Data)与高效蒸馏技术方案,跑通“业务-模型-反馈”迭代闭环;
3、评测体系构建:面向业务目标,设计完备的AI应用效果评估体系,构建自动化评估框架,建立离线评估与在线业务指标联动的量化评估能力;
4、强化学习与奖励机制设计:构建可工程化的Reward体系与RL训练环境,提升模型在垂直业务场景中的可控性与泛化能力;
5、AI外部能力体系搭建:实现AI应用所需的知识库(RAG)、长短期记忆系统(Memory)、工具调用、多Agent协作框架等
6、多模态AI应用开发:构建AI应用的多模态感知与推理能力,解决在UI自动化、视觉理解与审核、多模态会话等场景的落地应用问题。",,"[{""raw_name"": ""多智能体协作"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""多Agent协作""}, {""raw_name"": ""自动化测试"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""UI自动化""}, {""raw_name"": ""Context Engineering"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""上下文工程""}, {""raw_name"": ""Evaluation（LLM 评测）"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""评测体系""}, {""raw_name"": ""Function Calling"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""工具调用""}, {""raw_name"": ""系统架构"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""架构设计""}, {""raw_name"": ""RAG"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""RAG""}, {""raw_name"": ""多模态"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""多模态""}]",public_job_page,boss_zhipin,https://www.zhipin.com/job_detail/2675d1b17097b8550nN60tm6E1BY.html,2026-09-02,2026-09-02,none,human_reviewed
AI Agent 研发(实习生),数智奇点,成都,中国,,4350,5438,CNY,agent_dev,"职位描述:
我们是一家专注 AI Agent 产品研发与落地的团队,正在寻找对大模型、智能体、后端工程和 AI 应用开发有热情的研发实习生。你将参与真实 AI Agent 产品的核心研发工作,接触从技术方案、功能开发到效果优化和上线迭代的完整过程。

工作地点:成都。  
工作方式:线下到岗实习,不接受远程。

岗位职责:
1. 参与 AI Agent 产品核心能力研发,包括任务规划、工具调用、上下文管理、工作流编排与执行链路优化。
2. 使用 Rust / Go 参与后端服务、业务接口、异步任务、数据处理与系统集成等模块开发。
3. 参与 RAG 知识库、模型调用策略、Prompt 与 Agent Workflow 的效果优化,提升任务完成率、稳定性和用户体验。
4. 跟进 AI Agent、LLM 应用工程、开源模型生态等前沿方向,并结合真实业务场景进行验证和落地。
5. 与产品、算法、后端和设计同事协作,参与从需求分析、技术方案到开发上线的完整研发流程。

任职要求:
1. 本科或研究生在读,计算机、人工智能、软件工程、自动化、数学等相关专业优先。
2. 能保证每周 5 天及以上实习,连续实习 6 个月及以上。
3. 编程基础扎实,熟悉 Rust / Go 中至少一种语言;有 Python / TypeScript / JavaScript 使用经验者优先。
4. 熟悉数据结构、操作系统、网络、数据库、并发编程等计算机基础,有较强的问题拆解和工程实现能力。
5. 了解大语言模型基本原理及应用方式,对 AI Agent、RAG、工具调用、工作流编排等方向有实际探索。
6. 自驱力和学习能力强,能主动阅读英文文档、论文或开源项目,并将技术方案转化为可落地实现。

加分项:
1. 来自重点高校、双一流院校,或有高质量 AI / 后端 / 系统工程项目经历者优先。
2. 有 AI Agent、RAG 知识库、Chatbot、自动化工具、AI 插件等项目经验。
3. 有 Rust / Go 后端项目经验,熟悉高并发、异步编程、微服务、数据库或消息队列等工程实践。
4. 有 GitHub 项目、开源贡献、技术博客、竞赛获奖、论文复现或科研项目经历。
5. 对 AI 产品有强烈好奇心,愿意思考模型能力边界、用户体验和工程落地之间的平衡。

你将获得:
1. 参与真实 AI Agent 产品核心研发,而不是边缘辅助工作。
2. 接触大模型应用落地的完整链路,包括需求、方案、开发、评测、上线和迭代。
3. 与核心团队直接协作,在高密度项目实践中快速提升工程能力。
4. 表现优秀者可获得长期实习、转正机会或核心模块负责机会。

投递说明:
投递时欢迎附上 GitHub、项目链接、技术博客、竞赛经历或其他能体现工程能力的作品材料。",,"[{""raw_name"": ""JavaScript"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""JavaScript""}, {""raw_name"": ""TypeScript"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""TypeScript""}, {""raw_name"": ""Python"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Python""}, {""raw_name"": ""Git"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""GitHub""}, {""raw_name"": ""上下文管理"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""上下文管理""}, {""raw_name"": ""Rust"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Rust""}, {""raw_name"": ""Function Calling"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""工具调用""}, {""raw_name"": ""RAG"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""RAG""}, {""raw_name"": ""微服务"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""微服务""}, {""raw_name"": ""Go"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Go""}, {""raw_name"": ""Prompt Engineering"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""Prompt""}]",public_job_page,boss_zhipin,https://www.zhipin.com/job_detail/bd1e662c94530c890nN73di8EFJQ.html,2026-09-02,2026-09-02,none,human_reviewed
AI Agent工程师,青瓷游戏,成都,中国,武侯区,8000,12000,CNY,agent_dev,"岗位职责:
聚焦游戏用户增长、社群运营及内容传播等核心场景,开发基于大模型与AI工具的智能化解决方案。
负责AI Agent、智能客服、内容生成工具等应用的功能设计、代码实现、部署与效果迭代。
协同运营与产品团队,将运营策略转化为可落地、可量化的AI驱动功能,提升运营效率与用户体验。

任职要求:
计算机、软件工程、人工智能等相关专业本科及以上学历。
必备技能:精通Python开发,熟悉常用数据结构与算法;有使用 LangChain/Dify 等框架进行AI应用开发的经验。
技术加分项:掌握大模型提示词优化、RAG应用开发;了解C++/Java;有机器学习项目经历。
对游戏行业有强烈兴趣,具备良好的业务理解力和跨团队沟通能力。",,"[{""raw_name"": ""LangChain"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""LangChain""}, {""raw_name"": ""Python"", ""importance"": ""must_have"", ""intensity"": ""精通"", ""evidence_text"": ""Python""}, {""raw_name"": ""Java"", ""importance"": ""nice_to_have"", ""intensity"": ""了解"", ""evidence_text"": ""Java""}, {""raw_name"": ""Dify"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Dify""}, {""raw_name"": ""机器学习"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""机器学习""}, {""raw_name"": ""C++"", ""importance"": ""nice_to_have"", ""intensity"": ""了解"", ""evidence_text"": ""C++""}, {""raw_name"": ""RAG"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""RAG""}, {""raw_name"": ""Prompt Engineering"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""提示词""}]",public_job_page,boss_zhipin,https://www.zhipin.com/job_detail/38f9185e113f6d680nF83t6-EFNU.html,2026-09-02,2026-09-02,none,human_reviewed
AI agent工程师,有见,成都,中国,锦江区,3262,3915,CNY,agent_dev,"1、负责设计、构建和优化AI智能体及其应用产品,快速响应产品业务需求;
2、设计和实现基于LLM的智能体架构,包括任务规划、对话管理、意图识别、知识库、流程工程等;
3、开发和维护智能体的后端服务,确保系统的稳定性和可扩展性,并能推动AI Agents在架构和性能上的持续优化;
4、参与和主导大模型智能客服系统的设计和开发,提升客户交互体验和系统响应效率,并能对智能体进行评测和调优;职位要求:
1、计算机相关专业,硕士及以上学历;
2、动手能力强,精通Python、Java、Go其中一种或多种编程语言,具备良好的软件框架和应用设计能力;
3、深入了解AI Agents技术栈,掌握
LangChain/Llamaindex等LLM开发工具框架,有丰富的智能体开发和Prompt Engineering经验;
4、熟练使用各种开源或SaaS版的Agent开发平台,熟练掌握LLM应用程序的部署和运维;
5、熟悉NLP、ML和模型微调者优先,有 LLMOps应用和开发经验者优先。",,"[{""raw_name"": ""Prompt Engineering"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""Prompt Engineering""}, {""raw_name"": ""LlamaIndex"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Llamaindex""}, {""raw_name"": ""LangChain"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""LangChain""}, {""raw_name"": ""Python"", ""importance"": ""must_have"", ""intensity"": ""精通"", ""evidence_text"": ""Python""}, {""raw_name"": ""Java"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""Java""}, {""raw_name"": ""NLP"", ""importance"": ""nice_to_have"", ""intensity"": ""熟悉"", ""evidence_text"": ""NLP""}, {""raw_name"": ""Go"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""Go""}, {""raw_name"": ""SFT/LoRA"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""微调""}, {""raw_name"": ""机器学习"", ""importance"": ""nice_to_have"", ""intensity"": ""熟悉"", ""evidence_text"": ""ML""}]",public_job_page,boss_zhipin,https://www.zhipin.com/job_detail/8c00b32c571ca83703V_3921EVtW.html,2026-09-02,2026-09-02,none,human_reviewed
大模型算法,众辰奥米,上海,中国,松江区,12000,22000,CNY,agent_dev,"我们公司基于OpenClaw的框架进行多智能体开发、角色设定、基本边界设定、记忆优选、学习成长、安全架构等智能体全栈落地。对员工要求主要OpenClaw的熟练应用--如果不熟悉和擅长OpenClaw的,请不要报名联系。",,"[{""raw_name"": ""多智能体协作"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""多智能体""}]",public_job_page,boss_zhipin,https://www.zhipin.com/job_detail/cca48ea52dde0b8f0nJ43921EFVU.html,2026-09-02,2026-09-02,none,human_reviewed
智驾大模型算法,华为技术有限公司,上海,中国,浦东新区,4350,5438,CNY,llm_fullstack,"【我们是谁】
我们是华为车BU乾崑智驾核心技术研发团队,作为行业头部智驾公司,我们凭借前沿技术路径与扎实工程实力,已深度赋能鸿蒙智行等超30款量产车型,智驾系统累计搭载量超过100万辆;

【我们在做什么】
面对端到端大模型所面临的海量数据处理挑战,我们正构建全球领先的驾驶数据闭环平台,通过分布式计算引擎、多模态检索、向量数据库等前沿技术手段,通过数据驱动的方法推动端到端大模型持续迭代升级,打造下一代量产智驾产品,真正实现“越开越好开,越用越智能”;

【我们的岗位职责】
1、前沿智驾技术攻坚:基于海量真实数据,参与大模型+多模态+端到端等技术落地与部署,探索感知-决策-控制全栈智能化;
2、负责数据闭环开发:覆盖数据采集、挖掘、标注、模型训练、评测与部署全流程,构建高效自动化数据产线;
3、搭建高性能数据引擎与分布式系统:参与大数据调度平台开发与部署,处理亿级真实驾驶数据,挑战分钟级高效检索与分析;
4、参与行业前沿技术探索:在电车业务爆发期深度融入智能生态建设,加速技术落地与应用创新;
5、参与量产问题攻关与体验优化:依托量产车型真实路测数据,推动算法与系统迭代,直接影响千万用户体验;

【我们需要什么样的你】
算法与模型方向:
1、具备大模型/多模态/强化学习/端到端(如BEV、Occupancy、Diffusion、LLM等)等AI相关技术栈,或预测、决策、规划、控制等智驾算法相关技术栈;
2、具备数据闭环、模型训练优化或分布式计算相关经验;
3、对前沿端到端或智驾相关技术有深入实践的经验与持续学习的热情;
3、精通Python/C++,具备高性能算法开发能力与大型项目开发经验;

软件与数据平台方向:
1、熟悉后台开发机制,熟悉python/java/c++任一后端开发语言;
2、对大数据处理、高并发服务、分布式系统性能优化有所了解或感兴趣;
3、了解凸优化、聚类等机器学习方法,数学建模基础扎实;
4、对新型数据组织方式、向量检索、高速IO存储方案有了解;
5、对技术有追求,对代码感兴趣

【我们可以提供】
1、头部平台:深度参与智驾行业顶尖量产项目,技术成果直接赋能数款车型;
2、业务爆发期:合作车型持续增加,技术影响力行业顶尖;
3、丰厚年终奖:业绩导向,回报远超市场水平;
4、高自由度技术探索:从数据到模型再到实车,全链路参与前沿研发;",,"[{""raw_name"": ""Python"", ""importance"": ""nice_to_have"", ""intensity"": ""精通"", ""evidence_text"": ""Python""}, {""raw_name"": ""分布式系统"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""分布式系统""}, {""raw_name"": ""Java"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""java""}, {""raw_name"": ""机器学习"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""机器学习""}, {""raw_name"": ""C++"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""C++""}, {""raw_name"": ""多模态"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""多模态""}, {""raw_name"": ""RAG"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""向量检索""}]",public_job_page,boss_zhipin,https://www.zhipin.com/job_detail/822332d7a121bbe70nZ83NS9EVdS.html,2026-09-02,2026-09-02,none,human_reviewed
大模型算法应用工程师,上海从鲸信息技术,上海,中国,长宁区,40000,70000,CNY,ai_application_dev,"岗位职责:
1、负责生成式语言模型应用的设计,开发,和落地,为用户使用场景提供更好的体验;
2、在已部署的大模型服务中,调研不同模型与架构对服务指标的影响;
3、结合提示词工程 (prompt engineering),模型微调 (supervised/parameter efficient fine-tuning),函数调用 (function calling),配合向量数据库的检索增强生成 (RAG)等大模型技术,研发关键功能,实现稳定,可复现的模型产出;
4、跟进业界的最新产出结果,根据业务需求,为团队调研引入新的大模型应用场景。
任职要求:
1、扎实的编程技术,适应Linux环境下的开发,熟悉以Python为主的大模型开发流程,并掌握一定Java/C++编程语言的能力;
2、了解业界新模型的发展方向和技术知识,包括但不限于:向量方法、多模态、模型构架、训练数据集收集、指令微调数据集生成、模型微调、 模型对齐、推理性能加速等;
3、熟悉Langchain,Haystack,LlamaIndex等开源大模型应用框架,了解如vLLM,LmDeploy,Ollama,Llama.cpp等的开源推理框架;
4、熟悉深度学习技术,并了解 Pytorch 环境下,基于如 Deepspeed 架构下的模型开发和训练;
5、对分布式计算有一定的了解;
6、良好的团队沟通和协作能力,有能力为非大模型背景的听众提炼技术要点。
加分项:
1、有利用大模型落地应用或解决实际个人问题的经验;
2、在分布式集群上有训练大模型的经验;
3、熟悉GPU构架,有一定模型推理性能优化经验;
4、有对LLM社区有一定贡献或有相关领域的学术文章发表。",,"[{""raw_name"": ""Prompt Engineering"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""prompt engineering""}, {""raw_name"": ""Function Calling"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""function calling""}, {""raw_name"": ""SFT/LoRA"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""fine-tuning""}, {""raw_name"": ""LlamaIndex"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""LlamaIndex""}, {""raw_name"": ""LangChain"", ""importance"": ""must_have"", ""intensity"": ""熟悉"", ""evidence_text"": ""Langchain""}, {""raw_name"": ""PyTorch"", ""importance"": ""nice_to_have"", ""intensity"": ""了解"", ""evidence_text"": ""Pytorch""}, {""raw_name"": ""Python"", ""importance"": ""must_have"", ""intensity"": ""熟悉"", ""evidence_text"": ""Python""}, {""raw_name"": ""RAG"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""检索增强生成""}, {""raw_name"": ""Linux"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""Linux""}, {""raw_name"": ""Java"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Java""}, {""raw_name"": ""vLLM"", ""importance"": ""nice_to_have"", ""intensity"": ""了解"", ""evidence_text"": ""vLLM""}, {""raw_name"": ""深度学习"", ""importance"": ""must_have"", ""intensity"": ""熟悉"", ""evidence_text"": ""深度学习""}, {""raw_name"": ""C++"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""C++""}, {""raw_name"": ""多模态"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""多模态""}]",public_job_page,boss_zhipin,https://www.zhipin.com/job_detail/76f150df08aeee8e0nFy29m_F1dT.html,2026-09-02,2026-09-02,none,human_reviewed
大模型算法工程师,北京某大型计算机软件上市公司,上海,中国,,70000,100000,CNY,agent_dev,"岗位职责:
• 负责 AI 评测方向的核心研究与迭代,围绕角色对话、行为决策、长期互动与生成内容建立系统化评测方法 
• 设计并推动 benchmark、judge model、评测数据与实验框架建设,持续提升评测的区分度、稳定性与可信度
 • 提升离线评测与真实产品表现之间的相关性,使评测体系能够真正服务模型优化和产品决策 • 研究模型能力边界与关键失败模式,帮助团队更快定位问题并形成可靠研究方向 
• 与 AI research、data、infra、产品团队紧密协作,将评测结论转化为训练、后训练与模型选择中的有效信号

任职要求:
• 扎实的机器学习、深度学习与统计基础,对大语言模型或多模态模型的训练、后训练与评估有系统理解 
• 有 LLM evaluation、benchmark construction、model-as-judge、reward modeling 或 agent evaluation 相关经验 
• 能够独立设计评测任务、评测标准与分析框架,理解评估指标与真实产品表现之间的关系 
• 具备较强的 research taste,能够围绕开放问题定义研究目标并设计严谨实验 
• 具备优秀的工程能力,能够独立完成从问题拆解到结果分析的完整闭环 
• 具备较强的分析与归因能力,能够从复杂实验结果中提炼有效结论并推动决策 
• 对游戏、互动叙事、角色系统或 AI 驱动内容系统有强烈兴趣

加分项:
• 在机器学习、NLP、强化学习、HCI 或相关方向有高质量研究经历 
• 有 agent、multi-agent systems、long-horizon planning 或 memory systems 相关项目经验
• 有从研究走向线上系统落地的经验,包括数据闭环与灰度迭代 
• 有游戏、互动叙事、虚拟角色或线上 AI 产品相关经验",,"[{""raw_name"": ""多智能体协作"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""multi-agent system""}, {""raw_name"": ""Evaluation（LLM 评测）"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""LLM evaluation""}, {""raw_name"": ""机器学习"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""机器学习""}, {""raw_name"": ""深度学习"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""深度学习""}, {""raw_name"": ""多模态"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""多模态""}, {""raw_name"": ""NLP"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""NLP""}]",public_job_page,boss_zhipin,https://www.zhipin.com/job_detail/bd971a6b125f3fc40nN639y9EFtX.html,2026-09-02,2026-09-02,none,human_reviewed
AI大模型部署系统研发工程师实习生,上海行吟信息科技,上海,中国,黄浦区,6525,7612,CNY,ai_platform,"核心职责
1.参与小红书大模型平台推理部署等流程及工具的研发建设,完善平台现有功能
2.参与平台Quota管理模块的开发,实现多机房、多集群环境下的,各种异构计算资源的配额管理功能
3.参与平台大模型训练/压缩/推理/数据集/资源调度等流程及工具的研发建设

任职要求
1.计算机/软件工程相关专业在校生,熟悉Go/Python/Java至少一门语言
2.了解Linux系统及算法基础,熟悉MySQL/Redis/MQ等组件使用
3.熟悉 Kubernetes 技术栈,有一定的云原生机器学习系统实践和开发经验
4.有大模型部署经验,对 vLLM/SGLang/Dynamo 等至少一种推理框架有使用经验
5.具备快速学习能力,熟练使用 Git,熟练使用 github copilot/cursor 等 AI 编程工具

加分项
1.接触过Volcano/联邦集群/OpenKruise等云原生技术,有分布式系统实践经验
2.熟悉大模型推理基本原理,了解大模型分布式部署架构,例如多机部署和 PD 分离部署
3.熟悉常见的大模型如 DeepSeek/Qwen 等的架构及主要特点,有英伟达 GPU、华为 Ascend NPU 使用经验
4.熟悉常见调度算法,对多租户Quota治理、抢占、弹性、碎片、潮汐、混部等问题有一定的理解和实践经验",,"[{""raw_name"": ""Kubernetes"", ""importance"": ""must_have"", ""intensity"": ""熟悉"", ""evidence_text"": ""Kubernetes""}, {""raw_name"": ""AI Coding"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""copilot""}, {""raw_name"": ""Linux"", ""importance"": ""nice_to_have"", ""intensity"": ""了解"", ""evidence_text"": ""Linux系统""}, {""raw_name"": ""Python"", ""importance"": ""nice_to_have"", ""intensity"": ""熟悉"", ""evidence_text"": ""Python""}, {""raw_name"": ""Git"", ""importance"": ""must_have"", ""intensity"": ""熟练"", ""evidence_text"": ""github""}, {""raw_name"": ""MySQL"", ""importance"": ""nice_to_have"", ""intensity"": ""熟悉"", ""evidence_text"": ""MySQL""}, {""raw_name"": ""Redis"", ""importance"": ""nice_to_have"", ""intensity"": ""熟悉"", ""evidence_text"": ""Redis""}, {""raw_name"": ""分布式系统"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""分布式系统""}, {""raw_name"": ""Java"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""Java""}, {""raw_name"": ""vLLM"", ""importance"": ""nice_to_have"", ""intensity"": null, ""evidence_text"": ""vLLM""}, {""raw_name"": ""机器学习"", ""importance"": ""must_have"", ""intensity"": null, ""evidence_text"": ""机器学习""}, {""raw_name"": ""Go"", ""importance"": ""nice_to_have"", ""intensity"": ""熟悉"", ""evidence_text"": ""Go""}]",public_job_page,boss_zhipin,https://www.zhipin.com/job_detail/e9f5c20a402759f60nV-2dS1EVNS.html,2026-09-02,2026-09-02,none,human_reviewed
